LOCATION,SUBJECT,TIME,Value
AUS,BUPPSRY,1989,44.650639
AUS,BUPPSRY,1991,44.127056
AUS,BUPPSRY,1993,47.159046
AUS,BUPPSRY,1994,49.802025
AUS,BUPPSRY,1995,44.935852
AUS,BUPPSRY,1997,46.695274
AUS,BUPPSRY,1998,43.955959
AUS,BUPPSRY,1999,42.610085
AUS,BUPPSRY,2000,41.212311
AUS,BUPPSRY,2001,41.076141
AUS,BUPPSRY,2002,39.050316
AUS,BUPPSRY,2003,37.519817
AUS,BUPPSRY,2004,35.879036
AUS,BUPPSRY,2005,34.967968
AUS,BUPPSRY,2006,33.289845
AUS,BUPPSRY,2007,31.816732
AUS,BUPPSRY,2008,30.064018
AUS,BUPPSRY,2009,28.972523
AUS,BUPPSRY,2010,26.792744
AUS,BUPPSRY,2011,25.922543
AUS,BUPPSRY,2012,23.563389
AUS,BUPPSRY,2013,24.28443
AUS,BUPPSRY,2014,22.895836
AUS,BUPPSRY,2015,20.980896
AUS,BUPPSRY,2016,20.067352
AUS,BUPPSRY,2017,19.012659
AUS,BUPPSRY,2018,18.108641
AUS,BUPPSRY,2019,17.132658
AUS,BUPPSRY,2020,16.244976
AUS,TRY,1989,30.581482
AUS,TRY,1991,31.15881
AUS,TRY,1993,22.469191
AUS,TRY,1994,23.072365
AUS,TRY,1995,24.315445
AUS,TRY,1997,24.30127
AUS,TRY,1998,25.420708
AUS,TRY,1999,26.693399
AUS,TRY,2000,27.475746
AUS,TRY,2001,28.977322
AUS,TRY,2002,30.759785
AUS,TRY,2003,31.314152
AUS,TRY,2004,30.82308
AUS,TRY,2005,31.691153
AUS,TRY,2006,33.022213
AUS,TRY,2007,33.73671
AUS,TRY,2008,36.149986
AUS,TRY,2009,36.881355
AUS,TRY,2010,37.604309
AUS,TRY,2011,38.342072
AUS,TRY,2012,41.282364
AUS,TRY,2013,39.539928
AUS,TRY,2014,41.901855
AUS,TRY,2015,42.888756
AUS,TRY,2016,43.7439
AUS,TRY,2017,45.355675
AUS,TRY,2018,45.727478
AUS,TRY,2019,47.129978
AUS,TRY,2020,49.337452
